file,text_id,strategy,error,parse_success
Results/Readability_Results/dataset_with_readability.csv,68,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,68,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,68,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,69,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,69,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,69,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,69,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,70,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,70,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,70,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,70,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,71,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,71,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,71,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,71,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,72,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,72,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,72,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,72,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,73,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,73,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,73,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,73,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,74,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,74,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,74,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,74,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,75,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,75,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,75,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,75,persona3,Connection error.,False
