text_id,kendall_tau,p_value
CT0283,-0.3333333333333334,0.75
CT0284,-0.3333333333333334,0.75
CT0285,0.6666666666666669,0.3333333333333333
CT0286,0.0,1.0
CT0287,0.0,1.0
CT0288,0.3333333333333334,0.75
CT0289,1.0,0.08333333333333333
CT0290,0.6666666666666669,0.3333333333333333
CT0291,0.6666666666666669,0.3333333333333333
CT0292,1.0,0.08333333333333333
CT0293,0.0,1.0
CT0294,0.0,1.0
CT0295,0.3333333333333334,0.75
CT0296,1.0,0.08333333333333333
CT0297,0.3333333333333334,0.75
CT0298,0.0,1.0
CT0299,0.3333333333333334,0.75
CT0300,0.3333333333333334,0.75
CT0301,-1.0,0.08333333333333333
CT0302,0.3333333333333334,0.75
CT0303,0.3333333333333334,0.75
CT0304,0.6666666666666669,0.3333333333333333
CT0305,0.6666666666666669,0.3333333333333333
